EXPLORER_FOLDER               
CABINET,FOLDER_NUMBER,NAME,NAME_DE,DESCRIPTION_DE
30,10,100,100,234
                       2
"SQC","1","Charts","Diagramme","Liste von Diagrammen"
"SQC","2","Trend Tables","Trendregeln","Liste von Trendregeln"
