FORM                          
NAME,TITLE_DE
30,100
                      7
"SqcChartConfiguration","SQC Konfiguration"
"SqcChartDefinition","Diagramm"
"SqcChartViewer","Diagramm"
"SqcExcludeSubgroup","Ein- oder Ausschließen eines Ergebnisses aus einer Teilgruppe"
"SqcSampleExplorer","Teilgruppe Proben"
"SqcSubgroupOperations","Teilgruppe Bearbeitung"
"SqcTrend","Trendregel"
